Customer Name,Plant,Target Quantity,Distance,Freight Rate,Amount
SHRADHA SABOORI PROJECTS INDIA PVT LTD - VEMUKUNTA VILLAGE,LKDRM2, 200 ,41.986,2.5," 20,993.00 "
VERTEX VEGA DEVELOPERS LLP - NALLAGANDLA,LKDRM2, 200 ,52.048,2.5," 26,024.00 "
VERTEX VEGA DEVELOPERS LLP - NALLAGANDLA,LKDRM2, 200 ,52.048,2.5," 26,024.00 "
VERTEX VEGA DEVELOPERS LLP - NALLAGANDLA,LKDRM2, 100 ,52.048,2.5," 13,012.00 "
TRUE INTEGRAL CONCRETE PRIVATE LIMITED - IDA BOLLARAM,SLKPY, 100 ,36.51,100," 10,000.00 "
TRUE INTEGRAL CONCRETE PRIVATE LIMITED - IDA BOLLARAM,GIR II, 100 ,46.878,2.9," 13,594.62 "
TRUE INTEGRAL CONCRETE PRIVATE LIMITED - IDA BOLLARAM,GIR II, 100 ,46.878,2.9," 13,594.62 "
SRINIVASA INFRA PROJECTS - YAPRAL,KSR4, 60 ,66,2.5," 9,900.00 "
CHEELA LIFE SPACES PRIVATE LIMITED - KOMPALLY,GIR II, 150 ,34.014,2.9," 14,796.09 "
CHEELA LIFE SPACES PRIVATE LIMITED - KOMPALLY,GIR II, 100 ,34.014,2.9," 9,864.06 "
KUSHAL SAI BUILDERS AND DEVELOPERS - PEERZADIGUDA,RSDSH, 60 ,48.376,2.5," 7,256.40 "
NAVYA ESTATES - MEERPET,RSDSH, 60 ,66.296,2.5," 9,944.40 "
URBANRISE LIFESTYLES PRIVATE LIMITED - IDA BOLLARAM,GIR," 2,000 ",48.42,2.9," 280,836.00 "
URBANRISE LIFESTYLES PRIVATE LIMITED - IDA BOLLARAM,GIR," 2,000 ",48.42,2.9," 280,836.00 "
URBANRISE LIFESTYLES PRIVATE LIMITED - IDA BOLLARAM,GIR," 2,000 ",48.42,2.9," 280,836.00 "
EXSERVICEMAN LOGESTICS - KOMPALLY,GIR, 100 ,33.218,2.9," 9,633.22 "
EXSERVICEMAN LOGESTICS - KOMPALLY,GIR II, 50 ,33.494,2.9," 4,856.63 "
FORTUNE GREEN HOMES - NIZAMPET,GIR, 50 ,54.56,2.9," 7,911.20 "
FORTUNE GREEN HOMES - NIZAMPET,GIR, 200 ,54.56,2.9," 31,644.80 "
BPR INFRASTRUCTURE PRIVATE LIMITED - PHASE II BDL IBRAHIMPATNAM,RSDSH, 700 ,68.424,2.5," 119,742.00 "
BPR INFRASTRUCTURE PRIVATE LIMITED - PHASE II BDL IBRAHIMPATNAM,RSDSH, 500 ,68.424,2.5," 85,530.00 "
BPR INFRASTRUCTURE PRIVATE LIMITED - PHASE II BDL IBRAHIMPATNAM,RSDSH, 300 ,68.424,2.5," 51,318.00 "
A.J.S. CONSTRUCTIONS - RAMACHANDRAPURAM,SLKPY, 70 ,32.06,100," 7,000.00 "
LA VISTA CONSTRUCTIONS - HMT SWARNAPURI MIYAPUR,GIR, 250 ,56.19,2.9," 40,737.75 "
LA VISTA CONSTRUCTIONS - HMT SWARNAPURI MIYAPUR,GIR, 250 ,56.19,2.9," 40,737.75 "
LA VISTA CONSTRUCTIONS - HMT SWARNAPURI MIYAPUR,GIR, 250 ,56.19,2.9," 40,737.75 "
SRINIVASA TRANSPORTS AND CRAIN SERVICES - MOINABAD,LKDRM2, 50 ,102.93,2.5," 12,866.25 "
SRI MANIKANTA CONSTRUCTIONS - SAINIKPURI,KSR4, 60 ,50,2.5," 7,500.00 "
SREE TULASI BUILDERS - NIZAMPET,GIR, 25 ,53.444,2.9," 3,874.69 "
SREE TULASI BUILDERS - NIZAMPET,GIR, 25 ,53.444,2.9," 3,874.69 "
KAKATIYA INFRA PROJECTS - DIAMOND COUNTY,RSDSH, 60 ,41.736,2.5," 6,260.40 "
SRIJA PROJECTS - NAGOLE,RSDSH, 60 ,49.548,2.5," 7,432.20 "
A V L CONSTRUCTIONS - PUPPALAGUDA,SLKPY, 100 ,84.11,2.5," 21,027.50 "
ADITI AVENUES - BORAMPET,GIR, 150 ,40.432,2.9," 17,587.92 "
SURYAS INFRA -GAGULARAMARAM,GIR, 50 ,53.986,2.9," 7,827.97 "
TULASI CONSTRUCTIONS - SURARAM,GIR, 25 ,36.694,2.9," 2,660.32 "
TULASI CONSTRUCTIONS - SURARAM,GIR, 25 ,36.694,2.9," 2,660.32 "
ZENASIA INFRATECH PRIVATE LIMITED - BEERAMGUDA,GIR II, 50 ,18.21,2.9," 2,640.45 "
ZENASIA INFRATECH PRIVATE LIMITED - BEERAMGUDA,GIR, 50 ,60.108,2.9," 8,715.66 "
STANCH PROJECTS PRIVATE LIMITED - NAMPALLY,RSDSH, 60 ,72.844,2.5," 10,926.60 "
STANCH PROJECTS PRIVATE LIMITED -  NAMPALLY,RSDSH, 60 ,72.844,2.5," 10,926.60 "
STANCH PROJECTS PRIVATE LIMITED -  NAMPALLY,RSDSH, 90 ,72.844,2.5," 16,389.90 "
RAMKY INFRASTRUCTURE LIMITED - PATANCHERUVU,SLKPY," 1,400 ",23.85,100," 140,000.00 "
RAMKY INFRASTRUCTURE LIMITED - PATANCHERUVU,LKDRM2," 1,400 ",32.464,100," 140,000.00 "
RAMKY INFRASTRUCTURE LIMITED - PATANCHERUVU,LKDRM2, 650 ,32.464,100," 65,000.00 "
E11 HOMES - GUNDLAPOCHAMPALLY,GIR, 100 ,18.364,2.9," 5,325.56 "
E11 HOMES - GUNDLAPOCHAMPALLY,GIR II, 250 ,18.64,2.9," 13,514.00 "
ECO GREEN BUILDERS - GUNDLAPOCHAMPALLY,GIR II, 200 ,24.444,2.9," 14,177.52 "
RAMKY INFRASTRUCTURE LIMITED - NARSINGI,LKDRM2, 900 ,70.756,2.5," 159,201.00 "
RAMKY INFRASTRUCTURE LIMITED - NARSINGI,LKDRM2," 1,200 ",70.756,2.5," 212,268.00 "
RAMKY INFRASTRUCTURE LIMITED - NARSINGI,LKDRM2, 500 ,70.756,2.5," 88,445.00 "
VILVA INFRA - AUSHAPUR,RSDSH, 330 ,27.62,100," 33,000.00 "
PEYYALA VENKATA NIRANJAN KUMAR - PRAGHATINAGAR,GIR, 25 ,45.564,2.9," 3,303.39 "
SANDHEERA INFRATECH PRIVATE LIMITED - ISNAPUR,GIR II, 300 ,84.068,2.9," 73,139.16 "
SANDHEERA INFRATECH PRIVATE LIMITED - ISNAPUR,LKDRM2, 200 ,17.214,100," 20,000.00 "
ASPIRE SPACES PRIVATE LIMITED - MIYAPUR,GIR, 500 ,54.74,2.9," 79,373.00 "
ASPIRE SPACES PRIVATE LIMITED - MIYAPUR,GIR, 800 ,54.74,2.9," 126,996.80 "
ASPIRE SPACES PRIVATE LIMITED - MIYAPUR,GIR II," 1,450 ",55.016,2.9," 231,342.28 "
ASPIRE SPACES PRIVATE LIMITED - MIYAPUR,GIR II, 800 ,55.016,2.9," 127,637.12 "
BRICKS INFRATECH LLP - OSMAN NAGAR,SLKPY, 80 ,49.37,2.5," 9,874.00 "
BRICKS INFRATECH LLP - OSMAN NAGAR,SLKPY, 40 ,49.37,2.5," 4,937.00 "
G R INFRACON PRIVATE LIMITED - BACHUPALLY,GIR," 1,500 ",42.494,2.9," 184,848.90 "
G R INFRACON PRIVATE LIMITED - BACHUPALLY,GIR, 750 ,42.494,2.9," 92,424.45 "
G R INFRACON PRIVATE LIMITED - BACHUPALLY,GIR II, 750 ,42.77,2.9," 93,024.75 "
LEIGHTON INDIA CONTRACTORS PRIVATE LIMITED - 285FD (NARSINGI),GIR, 100 ,91.466,2.9," 26,525.14 "
MAHIDHARA PROJECTS PRIVATE LIMITED - ISNAPUR,LKDRM2, 40 ,27.034,100," 4,000.00 "
MAHIDHARA PROJECTS PRIVATE LIMITED - ISNAPUR,LKDRM2, 40 ,27.034,100," 4,000.00 "
SURESAN CONSTRUCTIONS PRIVATE LIMITED - GAJULARAMARAM,GIR, 50 ,55.806,2.9," 8,091.87 "
SPECTRA CONSTRUCTIONS AND INFRASTRUCTURE PRIVATE LIMITED - ATTAPUR,GIR, 300 ,102.038,2.9," 88,773.06 "
MAKUTA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED - ALWAL,GIR, 100 ,39.4,2.9," 11,426.00 "
MAKUTA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED - ALWAL,GIR II, 25 ,39.676,2.9," 2,876.51 "
K S R CONSTRUCTIONS - BOWENPALLY,GIR, 100 ,47.748,2.9," 13,846.92 "
AR HOMES KOLLUR,LKDRM2," 1,000 ",52.06,2.5," 130,150.00 "
AR HOMES KOLLUR,LKDRM2," 1,000 ",52.06,2.5," 130,150.00 "
AR HOMES KOLLUR,LKDRM2," 1,000 ",52.06,2.5," 130,150.00 "
SRI MAHAVISHNU INFRA LLP - KONDAPUR,GIR, 50 ,68.626,2.9," 9,950.77 "
KALYAN INFRA PROJECTS - MANCHIREVULA,GIR, 50 ,93.716,2.9," 13,588.82 "
VITTORUS INFRACON PRIVATE LIMITED - VANASTHALIPURAM,RSDSH, 30 ,57.838,2.5," 4,337.85 "
S R CONSTRUCTIONS - PATANCHERU,LKDRM2, 30 ,34.37,100," 3,000.00 "
RAVIKIRAN GURUJALA - MIYAPUR,GIR II, 25 ,57.07,2.9," 4,137.58 "
SIGNATURE AVENUES LLP - KOLLUR,GIR, 50 ,93.72,2.9," 13,589.40 "
SIGNATURE AVENUES LLP - KOLLUR,SLKPY, 25 ,49.62,2.5," 3,101.25 "
SIGNATURE AVENUES LLP - KOLLUR,SLKPY, 240 ,49.62,2.5," 29,772.00 "
A R ANMOL DEVELOPERS - PATANCHERUVU,LKDRM2, 60 ,30.98,100," 6,000.00 "
A R ANMOL DEVELOPERS - PATANCHERUVU,LKDRM2, 30 ,30.98,100," 3,000.00 "
KUNDUR CONSTRUCTIONS PRIVATE LIMITED - PASHAMYLARAM,GIR, 50 ,83.296,2.9," 12,077.92 "
KUNDUR CONSTRUCTIONS PRIVATE LIMITED - PASHAMYLARAM,LKDRM2, 200 ,30.314,100," 20,000.00 "
VERTEX VEGA DEVELOPERS LLP - GOPANNAPALLI,LKDRM2, 25 ,56.392,2.5," 3,524.50 "
KNR RMC,KSR4," 1,100 ",0,0, -   
SHIVA KRISHNA CONSTRUCTIONS - MEDIPALLY,RSDSH, 60 ,41.58,2.5," 6,237.00 "
SHIVA KRISHNA CONSTRUCTIONS - MEDIPALLY,RSDSH, 120 ,41.58,2.5," 12,474.00 "
SHIVA KRISHNA CONSTRUCTIONS - MEDIPALLY,RSDSH, 30 ,41.58,2.5," 3,118.50 "
SORA BUILDERS & DEVELOPERS - NALLAGANDLA,LKDRM2, 25 ,51.022,2.5," 3,188.88 "
ACE INFRA AND DEVELOPERS - WEST MARREDPALLY,RSDSH, 60 ,72.674,2.5," 10,901.10 "
RITVIK CONSTRUCTIONS & DEVELOPERS - SANGAREDDY,LKDRM2, 200 ,45.466,2.5," 22,733.00 "
RITVIK CONSTRUCTIONS & DEVELOPERS - SANGAREDDY,LKDRM2, 120 ,45.466,2.5," 13,639.80 "
APARNA ENTERPRISES LIMITED - KOMPALLY,GIR, 500 ,32.922,2.9," 47,736.90 "
APARNA ENTERPRISES LIMITED - KOMPALLY,GIR II, 500 ,33.198,2.9," 48,137.10 "
APARNA ENTERPRISES LIMITED - KOMPALLY,GIR II, 500 ,33.198,2.9," 48,137.10 "
APARNA ENTERPRISES LIMITED - PETBASHEERABAD,GIR, 400 ,35.7,2.9," 41,412.00 "
APARNA ENTERPRISES LIMITED - PETBASHEERABAD,GIR II, 600 ,35.976,2.9," 62,598.24 "
APARNA ENTERPRISES LIMITED - PETBASHEERABAD,GIR II, 600 ,35.976,2.9," 62,598.24 "
APARNA ENTERPRISES LIMITED - GUNDLAPOCHAMPALLY,GIR II, 300 ,25.556,2.9," 22,233.72 "
APARNA ENTERPRISES LIMITED - GUNDLAPOCHAMPALLY,GIR II, 300 ,25.556,2.9," 22,233.72 "
APARNA ENTERPRISES LIMITED - GUNDLAPOCHAMPALLY,GIR, 300 ,26.41,2.9," 22,976.70 "
ASRITHAS GROUP - RAMESWARAMBANDA,GIR, 100 ,57.074,2.9," 16,551.46 "
ESHANYA CONSTRUCTIONS - BACHUPALLY,GIR, 100 ,51.94,2.9," 15,062.60 "
SRI BALAJI HOMES - DULAPALLY,GIR, 100 ,32.952,2.9," 9,556.08 "
LAXMAN BANOTH - KOMPALLY,GIR II, 50 ,28.428,2.9," 4,122.06 "
SLN BUILDCON INDIA PRIVATE LIMITED - ANKURA MOKILA,LKDRM2, 700 ,57.988,2.5," 101,479.00 "
SLN BUILDCON INDIA PRIVATE LIMITED - ANKURA MOKILA,LKDRM2, 500 ,57.988,2.5," 72,485.00 "
SLN BUILDCON INDIA PRIVATE LIMITED - ANKURA MOKILA,LKDRM2, 300 ,57.988,2.5," 43,491.00 "
ARIGALA LAKSHMIJA - GAYATRI NAGAR,LKDRM2, 30 ,69.032,2.5," 5,177.40 "
AHK INFRA - PUPPALGUDA TOWER 1,LKDRM2, 35 ,71.714,2.5," 6,274.97 "
SPECTRA CONSTRUCTIONS AND INFRASTRUCTURE PRIVATE LIMITED - KONDAPUR,GIR, 300 ,79.908,2.9," 69,519.96 "
SRI SARTHAK INFRA DEVELOPERS - B N REDDY NAGAR,RSDSH, 60 ,60.038,2.5," 9,005.70 "
URBANRISE LIFESTYLES PRIVATE LIMITED - VATTINAGULAPALLY,LKDRM2, 25 ,72.38,2.5," 4,523.75 "
AKIL CONSTRUCTIONS - JUBILEE HILLS,GIR, 25 ,80.492,2.9," 5,835.67 "
AKIL CONSTRUCTIONS - JUBILEE HILLS,GIR, 25 ,80.492,2.9," 5,835.67 "
G R INFRACON PRIVATE LIMITED - AMEENPUR,GIR, 50 ,66.63,2.9," 9,661.35 "
CADOL DEVELOPERS LLP - PETBASHEERABAD,GIR, 50 ,36.116,2.9," 5,236.82 "
RIZE DEVELOPERS - BACHUPALLY,GIR, 25 ,50.24,2.9," 3,642.40 "
RIZE DEVELOPERS - BACHUPALLY,GIR II, 25 ,50.516,2.9," 3,662.41 "
MSM VENKATASAI BUILDERS PRIVATE LIMITED - SURARAM COLONY,GIR II, 50 ,36.364,2.9," 5,272.78 "
MSM VENKATASAI BUILDERS PRIVATE LIMITED - SURARAM COLONY,GIR, 100 ,36.088,2.9," 10,465.52 "
SVS PROJECTS INDIA PRIVATE LIMITED -UPPAL,KSR4, 300 ,62,2.5," 46,500.00 "
SVS PROJECTS INDIA PRIVATE LIMITED -UPPAL,KSR4, 200 ,62,2.5," 31,000.00 "
SVS PROJECTS INDIA PRIVATE LIMITED -UPPAL,RSDSH, 120 ,62,2.5," 18,600.00 "
H S SRINIVAS GANDHI MOLLETY - MIYAPUR,GIR, 25 ,56.252,2.9," 4,078.27 "
H S SRINIVAS GANDHI MOLLETY - MIYAPUR,GIR, 25 ,56.252,2.9," 4,078.27 "
ALPINE CONSTRUCTIONS - SHANKARPALLY,SLKPY, 40 ,51.25,2.5," 5,125.00 "
CADOL DEVELOPERS LLP - PUDUR,GIR II, 150 ,42.166,2.9," 18,342.21 "
CADOL DEVELOPERS LLP - PUDUR,GIR II, 150 ,42.166,2.9," 18,342.21 "
ELITE INFRA - PEERAMCHERU,LKDRM2, 100 ,85.186,2.5," 21,296.50 "
S K ASSOCIATES - SHAMSHABAD,SLKPY, 50 ,123.09,2.5," 15,386.25 "
S K ASSOCIATES - SHAMSHABAD,RSDSH, 50 ,103.908,2.5," 12,988.50 "
MOGHAL CONSTRUCTIONS -GOLDEN HEIGHTS,RSDSH, 50 ,96.772,2.5," 12,096.50 "
AVISA PROJECTS - KOMPALLY,GIR, 25 ,38.954,2.9," 2,824.17 "
AVISA PROJECTS - KOMPALLY,GIR II, 25 ,39.23,2.9," 2,844.17 "
SRI VINAYAK FORTUNE BUILDERS -SANATHNAGAR,GIR, 50 ,67.966,2.9," 9,855.07 "
SRI VINAYAK FORTUNE BUILDERS -SANATHNAGAR,GIR II, 25 ,68.242,2.9," 4,947.55 "
SHASHIKIRAN BUILDERS & DEVELOPERS - KOMPALLY,GIR, 50 ,34.34,2.9," 4,979.30 "
SHASHIKIRAN BUILDERS & DEVELOPERS - KOMPALLY,GIR II, 100 ,34.616,2.9," 10,038.64 "
INDUS INSUL PRIVATE LIMITED - PRAGATHI NAGAR,GIR II, 25 ,45.384,2.9," 3,290.34 "
ABODE VENTURES LLP -CHERIYAL,KSR4, 140 ,32,2.5," 11,200.00 "
ABODE VENTURES LLP -CHERIYAL,RSDSH, 200 ,55.446,2.5," 27,723.00 "
VENNAR CONSTRUCTIONS - JUBLEE HILLS RD NO.25,GIR, 25 ,84.38,2.9," 6,117.55 "
KAKATIYA CONSTRUCTIONS & INFRA - GOPANPALLY,SLKPY, 35 ,44.5,2.5," 3,893.75 "
SHANKU CHAKRA PROJECTS - HAYATHNAGAR,RSDSH, 60 ,47.514,2.5," 7,127.10 "
SREE CONSTRUCTIONS - GOPAL NAGAR,GIR, 150 ,67.98,2.9," 29,571.30 "
SREE CONSTRUCTIONS - GOPAL NAGAR,GIR, 150 ,67.98,2.9," 29,571.30 "
PRIMARK ENTERPRISES - AMEENPUR,SLKPY," 1,000 ",38.55,100," 100,000.00 "
PRIMARK ENTERPRISES - AMEENPUR,GIR," 1,400 ",54.904,2.9," 222,910.24 "
PRIMARK ENTERPRISES - AMEENPUR,GIR II," 1,000 ",55.18,2.9," 160,022.00 "
AKMAL INFRA - KOMPALLY,GIR, 100 ,39.722,2.9," 11,519.38 "
AKMAL INFRA - KOMPALLY,GIR, 50 ,39.722,2.9," 5,759.69 "
ENGINEERS ASSOCIATES PRIVATE LIMITED - MALLAPUR.,RSDSH, 175 ,59.826,2.5," 26,173.88 "
SATYAVARDHAN REDDY VALLAM REDDY - BACHUPALLY,GIR, 100 ,46.316,2.9," 13,431.64 "
SATYAVARDHAN REDDY VALLAM REDDY - NIZAMPET,GIR, 25 ,60.524,2.9," 4,387.99 "
APARNA CONSTRUCTIONS AND ESTATES PRIVATE LIMITED - ATHVELI MEDCHAL,GIR, 300 ,38.602,2.9," 33,583.74 "
ANUHAR HOMES PVT LTD - RMC ALKAPURI,SLKPY, 800 ,74.17,2.5," 148,340.00 "
ANUHAR HOMES PVT LTD - RMC ALKAPURI,LKDRM2, 800 ,79.876,2.5," 159,752.00 "
ANUHAR HOMES PVT LTD - RMC ALKAPURI,LKDRM2, 300 ,79.876,2.5," 59,907.00 "
DARA INFRA - BOWRAMPET (PRIME NEST),GIR II, 25 ,46.156,2.9," 3,346.31 "
DCR DEVELOPERS PRIVATE LIMITED - YELLAREDDYGUDA,GIR, 50 ,76.29,2.9," 11,062.05 "
DCR DEVELOPERS PRIVATE LIMITED - YELLAREDDYGUDA,GIR II, 50 ,76.73,2.9," 11,125.85 "
ESHANYA CONSTRUCTIONS - PLOT NO 156&157 AMEENPUR,GIR, 25 ,65.576,2.9," 4,754.26 "
VENKATA GAJANANA DEVELOPERS - KOMPALLY,GIR II, 350 ,34.668,2.9," 35,188.02 "
VENKATA GAJANANA DEVELOPERS - KOMPALLY,GIR II, 50 ,34.668,2.9," 5,026.86 "
PATHAPATI HARSHA VARDHAN REDDY - ADDAGUTTA,GIR, 100 ,62,2.9," 17,980.00 "
NCL BUILDTEK LIMITED -  MUCHARLA VILLAGE,LKDRM2, 120 ,33.026,100," 12,000.00 "
NCL BUILDTEK LIMITED - MUCHARLA VILLAGE,LKDRM2, 90 ,33.026,100," 9,000.00 "
CONFIDENT BUILDERS -CHANDANAGAR,GIR, 150 ,71.95,2.9," 31,298.25 "
CONFIDENT BUILDERS -CHANDANAGAR,GIR II, 50 ,72.226,2.9," 10,472.77 "
AMOGHA CONSTRUCTIONS PRIVATE LIMITED - GOPANAPALLY,GIR, 100 ,83.278,2.9," 24,150.62 "
AMOGHA CONSTRUCTIONS PRIVATE LIMITED - GOPANAPALLY,LKDRM2, 60 ,61.438,2.5," 9,215.70 "
RAHULRAM CONSTRUCTIONS - VANASTALIPURAM,RSDSH, 60 ,49.254,2.5," 7,388.10 "
VENKATA SATYA SURYA VARA PRASADA VARMA KOSURI - PETBASHEERABAD,GIR II, 25 ,35.932,2.9," 2,605.07 "
CHARAN ELECTRICALS AND INFRA PRIVATE LIMITED - BANDLAGUDA JAGIR,RSDSH, 30 ,93.25,2.5," 6,993.75 "
S V R CONSTRUCTIONS - MEDIPALLY,RSDSH, 60 ,46.132,2.5," 6,919.80 "
MKT PRANEETH HOMES - ISNAPUR,LKDRM2, 100 ,23.058,100," 10,000.00 "
MKT PRANEETH HOMES - ISNAPUR,LKDRM2, 50 ,23.058,100," 5,000.00 "
ADITI AVENUES - ISNAPUR,LKDRM2, 50 ,18.14,100," 5,000.00 "
ADITI AVENUES - ISNAPUR,LKDRM2, 35 ,18.14,100," 3,500.00 "
MSG INFRA - AMEENPUR,SLKPY, 30 ,32.21,100," 3,000.00 "
NOBLE CARBONS PRIVATE LIMITED - NANDIGAON VILLAGE,LKDRM2, 30 ,38.226,100," 3,000.00 "
NOBLE CARBONS PRIVATE LIMITED - NANDIGAON VILLAGE,LKDRM2, 30 ,38.226,100," 3,000.00 "
D B S CO - VATTINAGULAPALLY,LKDRM2, 30 ,64.424,2.5," 4,831.80 "
TOTAL GREEN PROJECTS PRIVATE LIMITED - SHAMIRPET,GIR, 50 ,46.77,2.9," 6,781.65 "
U V INFRA - AMEENPUR 1,SLKPY, 30 ,36.45,100," 3,000.00 "
FORTUNE INFRA AND ENGINEERING - AMEENPUR,SLKPY, 30 ,34.48,100," 3,000.00 "
MAANASAA TRADERS - BACHUPALLY,LKDRM2, 100 ,58.9,2.5," 14,725.00 "
HABITAT INFRASTRUCTURES - UPPAL,RSDSH, 30 ,57.668,2.5," 4,325.10 "
KPC BUILDERS PRIVATE LIMITED - MALLAPUR,RSDSH, 120 ,56.954,2.5," 17,086.20 "
NARSIMLU - KONDAPUR,LKDRM2, 30 ,59.898,2.5," 4,492.35 "
SARVEJANA HEALTHCARE PRIVATE LIMITED - BEGUMPET,GIR, 100 ,60.668,2.9," 17,593.72 "
DATRI HOMES - BOWRAMPET,GIR, 100 ,41.53,2.9," 12,043.70 "
DATRI HOMES - BOWRAMPET,GIR, 50 ,41.53,2.9," 6,021.85 "
PRANATHI CONSTRUCTIONS - KONDAPUR,GIR II, 50 ,72.794,2.9," 10,555.13 "
SRIJA PROJECTS - THATTIANNARAM,RSDSH, 100 ,40.364,100," 10,000.00 "
SRIJA PROJECTS - MEDIPALLY,RSDSH, 100 ,52.414,2.5," 13,103.50 "
SR LANDMARK VENTURES LLP - YADIGIRIPALLI,KSR4, 100 ,66,2.5," 16,500.00 "
SR LANDMARK VENTURES LLP - YADIGIRIPALLI,RSDSH, 60 ,95.858,2.5," 14,378.70 "
SWAGATH HOUSING CORPORATION - ISNAPUR,LKDRM2, 60 ,13.57,100," 6,000.00 "
SWAGATH HOUSING CORPORATION - ISNAPUR,SLKPY, 90 ,41.78,2.5," 9,400.50 "
GRR ENTERPRISES - CHERIYAL VILLAGE,LKDRM2, 100 ,44.46,2.5," 11,115.00 "
GRR ENTERPRISES - CHERIYAL VILLAGE,LKDRM2, 100 ,44.46,2.5," 11,115.00 "
GRR ENTERPRISES - CHERIYAL VILLAGE,LKDRM2, 100 ,44.46,2.5," 11,115.00 "
KEERTHI CONSTRUCTIONS - BONGULURU,RSDSH, 200 ,63.776,2.5," 31,888.00 "
SRI DHATRI CONSTRUCTIONS -GAJULARAMARAM,GIR, 50 ,54.85,2.9," 7,953.25 "
SRI DHATRI CONSTRUCTIONS -GAJULARAMARAM,GIR, 25 ,54.85,2.9," 3,976.63 "
SYAMANTAKA PROFILES - BOWRAMPET,GIR," 1,500 ",38.644,2.9," 168,101.40 "
SYAMANTAKA PROFILES - BOWRAMPET,GIR," 1,500 ",38.644,2.9," 168,101.40 "
SYAMANTAKA PROFILES - BOWRAMPET,GIR," 1,500 ",38.644,2.9," 168,101.40 "
SRI VENKATESWARA CONSTRUCTIONS - KANDIGUDA,KSR4, 60 ,66,2.5," 9,900.00 "
K V PRASADA RAO - JNTU,GIR II, 25 ,60.938,2.9," 4,418.01 "
BRICKLITE BLOCKS PRIVATE LIMITED - BOMMALARAMARAM,KSR4, 60 ,30,2.5," 4,500.00 "
BRICKLITE BLOCKS PRIVATE LIMITED - BOMMALARAMARAM,RSDSH, 60 ,66.204,2.5," 9,930.60 "
MANJEERA CONSTRUCTIONS LTD - GOPANPAPALLY,GIR, 100 ,83.044,2.9," 24,082.76 "
SPHOORTHI CONSTRUCTIONS - GAJULARAMARAM,GIR, 50 ,48.372,2.9," 7,013.94 "
VISHNU DEVELOPERS - AMEENPUR PLOT NO 176 & 177,SLKPY, 50 ,35.13,100," 5,000.00 "
V2 INFRA - PUPPALGUDA,SLKPY," 1,500 ",80.31,2.5," 301,162.50 "
V2 INFRA - PUPPALGUDA,SLKPY," 1,500 ",80.31,2.5," 301,162.50 "
V2 INFRA - PUPPALGUDA,SLKPY, 750 ,80.31,2.5," 150,581.25 "
GUMUDAVELLY VENKAT KISHAN PRASAD - RAMPALLY,RSDSH, 30 ,40,100," 3,000.00 "
AS INFRA AND ENGINEERING PRIVATE LIMITED - BOWRAMPET,GIR, 60 ,38.418,2.9," 6,684.73 "
AS INFRA AND ENGINEERING PRIVATE LIMITED - BOWRAMPET,GIR, 30 ,38.418,2.9," 3,342.37 "
SUNSHINE HOUSING - ALKAPURI,GIR, 100 ,94.714,2.9," 27,467.06 "
SUNSHINE HOUSING - ALKAPURI,LKDRM2, 100 ,83.702,2.5," 20,925.50 "
VENKATA PRANITHA CONSTRUCTIONS - MEDCHAL,GIR, 50 ,37.198,2.9," 5,393.71 "
VENKATA PRANITHA CONSTRUCTIONS - MEDCHAL,GIR II, 50 ,37.474,2.9," 5,433.73 "
NAVYA HOMES - BEERAMGUDA,SLKPY, 30 ,34.33,100," 3,000.00 "
NAVYA HOMES - BEERAMGUDA,SLKPY, 30 ,34.33,100," 3,000.00 "
TALASILA INFRA - KANDIGUDA,KSR4, 60 ,66,2.5," 9,900.00 "
URBAN UNNATI INFRA - BAHADURPALLY,GIR, 250 ,36.738,2.9," 26,635.05 "
URBAN UNNATI INFRA - BAHADURPALLY,GIR, 100 ,36.738,2.9," 10,654.02 "
SAMISHTI INFRA DEVELOPERS - DUNDIGAL,GIR II, 200 ,27.536,2.9," 15,970.88 "
SAMISHTI INFRA DEVELOPERS - DUNDIGAL,GIR II, 200 ,27.536,2.9," 15,970.88 "
SHIVARAM FLOORING WORKS SHIVRAMPALLY,RSDSH, 60 ,133.296,2.5," 19,994.40 "
SAI RUKMINI CONSTRUCTIONS - QUTHBULLAPUR ROAD,GIR, 25 ,44.302,2.9," 3,211.90 "
SAI RUKMINI CONSTRUCTIONS - QUTHBULLAPUR ROAD,GIR II, 75 ,44.578,2.9," 9,695.72 "
SAI RUKMINI CONSTRUCTIONS - QUTHBULLAPUR ROAD,GIR II, 50 ,44.578,2.9," 6,463.81 "
VEMULA ANITHA GOURI - CHINTHAPALLI,RSDSH, 100 ,67.558,2.5," 16,889.50 "
VISHNU HOMES - NAGOLE 1,RSDSH, 60 ,52.472,2.5," 7,870.80 "
DARA INFRA - GOPAL NAGAR,SLKPY, 25 ,52.89,2.5," 3,305.63 "
DARA INFRA - GOPAL NAGAR,SLKPY, 25 ,52.89,2.5," 3,305.63 "
GOPU KARTHIK - RAJENDRA NAGAR,RSDSH, 30 ,99.376,2.5," 7,453.20 "
KASUKURTHI JAWAHARLAL NEHRU - SANGA REDDY,LKDRM2, 30 ,70.822,2.5," 5,311.65 "
PACIFICA INDIA PROJECTS PRIVATE LIMITED - BACHUPALLY ROAD,GIR II, 800 ,52.886,2.9," 122,695.52 "
