Customer Name,Plant,Target Quantity,Distance,Freight Rate,Amount
GREATER INFRA PROJECTS PRIVATE LIMITED - JP NAGAR HMT HILLS,GIR," 1000 ",61.714,2.9," 178,970.60 "
PALLERLA SOLOMON REDDY - BALAPUR,RSDSH, 30 ,76.556,2.5," 5,741.70 "
GOOD TIME BUILDERS AND DEVELOPERS - ISNAPUR,GIR, 50 ,75.474,2.9," 10,943.73 "
GOOD TIME BUILDERS AND DEVELOPERS - ISNAPUR,LKDRM2, 200 ,34.13,100," 20,000.00 "
GOOD TIME BUILDERS AND DEVELOPERS - ISNAPUR,LKDRM2, 200 ,34.13,100," 20,000.00 "
ADITYA DEVELOPERS - (SAPTHAGIRI) NALLAGANDLA,GIR, 100 ,77.972,2.9," 22,611.88 "
ADITYA DEVELOPERS - (SAPTHAGIRI) NALLAGANDLA,LKDRM2, 100 ,54.34,2.5," 13,585.00 "
ACC LIMITED - IDA BACHUPALLY,SLKPY, 400 ,37.95,100," 40,000.00 "
ACC LIMITED - IDA BACHUPALLY,SLKPY, 300 ,37.95,100," 30,000.00 "
ACC LIMITED - IDA BACHUPALLY,SLKPY, 300 ,37.95,100," 30,000.00 "
PRIMARK ENTERPRISES - BAHADUR PALLY,GIR, 100 ,34.366,2.9," 9,966.14 "
PRIMARK ENTERPRISES - BAHADUR PALLY,GIR, 800 ,34.366,2.9," 79,729.12 "
PRIMARK ENTERPRISES - BAHADUR PALLY,GIR, 600 ,34.366,2.9," 59,796.84 "
PRIMARK ENTERPRISES - BAHADUR PALLY,GIR, 300 ,34.366,2.9," 29,898.42 "
SATYA SREE DEVELOPERS LLP - MIYAPUR,GIR, 50 ,57.284,2.9," 8,306.18 "
BEAMS AND COLUMNS BUILDERS PRIVATE LIMITED,GIR, 50 ,41.32,2.9," 5,991.40 "
BEAMS AND COLUMNS BUILDERS PRIVATE LIMITED,GIR II, 100 ,41.598,2.9," 12,063.42 "
SHREE VINAYAKA INFRA - EXWORKS,KSR4, 500 ,0,0, -   
VASHISTA CONSTRUCTIONS - BODUPPAL,KSR4, 30 ,57.032,2.5," 4,277.40 "
GAUTAMI EDUCATIONAL SOCIETY - MIYAPUR,GIR, 50 ,63.948,2.9," 9,272.46 "
GAUTAMI EDUCATIONAL SOCIETY - MIYAPUR,GIR II, 50 ,64.226,2.9," 9,312.77 "
JORALA JANGAIAH-HAYATHNAGAR,RSDSH, 60 ,38.216,100," 6,000.00 "
SAI MANASWI INFRA - JVJ HILLS,GIR, 50 ,72.118,2.9," 10,457.11 "
ANUHAR HOMES PVT LTD - (RR TOWERS)  ALKAPURI,LKDRM2, 100 ,81.756,2.5," 20,439.00 "
ANUHAR HOMES PVT LTD - (RR TOWERS)  ALKAPURI,LKDRM2, 50 ,81.756,2.5," 10,219.50 "
ANUHAR HOMES PVT LTD - (RR TOWERS)  ALKAPURI,LKDRM2, 50 ,81.756,2.5," 10,219.50 "
GEM VIVENDAS PRIVATE LIMITED - KOKAPET,GIR, 200 ,90.552,2.9," 52,520.16 "
SUNSHINE PROJECTS - NANAKARAMGUDA,GIR, 100 ,86.048,2.9," 24,953.92 "
SUNSHINE PROJECTS - NANAKARAMGUDA,LKDRM2, 100 ,73.908,2.5," 18,477.00 "
KAMMARI RAMA KRISHNA CHARY - PATANCHURU,SLKPY, 35 ,26.64,100," 3,500.00 "
VISION INFRA DEVELOPERS - PHASE II KOMPALLY,GIR II, 200 ,35.508,2.9," 20,594.64 "
DREAM TEAM REALTY - UPPAL,RSDSH, 60 ,54.52,2.5," 8,178.00 "
